Id,Customer ID,Name,Birth Date,Phone No.,Email Id,Credit card,Card Expiry,Address,Zip Code,City,State,Country,Year,Aadhar,Time
1,7AEC6AEC3,Jordan Garcia,15-08-1998,487647593,JordanGarcia@gmail.com,4219489241157811,05/28,H.No. 93 Khare Circle,239110,Saharsa,Himachal Pradesh,India,2011,416097535130,19:56:43
2,1CEC5CEC0,Allison Jackson,26-06-2000,1158714841,AllisonJackson@yahoo.com,349894719659340,06/25,094- Banerjee Chowk,829676,Bikaner,Chhattisgarh,India,2010,586848339691,19:21:36
3,3AAF1AAF0,David Hansen,27-04-1994,1591795330,DavidHansen@yahoo.com,4352560123098910139,02/32,15- Badami Zila,358576,Jammu,Goa,India,2022,473008691411,20:47:03
4,9EEB8EEB4,Steven Miller,09-04-1982,870916345,StevenMiller@gmail.com,30230225841979,04/25,69- Dugal Circle,355654,Munger,Uttarakhand,India,2021,428071508421,18:07:07
5,3FFA4FFA0,Jeffrey Hall,04-08-1989,5992466109,JeffreyHall@gmail.com,3523376960696025,11/29,H.No. 27- Wali Circle,994857,Kishanganj,Punjab,India,2010,175470638123,05:04:10
6,8DDA3DDA7,Sarah Green,13-07-1984,89131934,SarahGreen@gmail.com,3517610471428512,12/24,H.No. 003 Mallick Road,647989,Ambarnath,Odisha,India,2010,376582369405,16:49:54
7,8DCB7DCB0,Terri Vazquez,27-12-1994,1590042294,TerriVazquez@gmail.com,6011417304281462,11/27,11 Khosla Circle,540493,Naihati,Uttarakhand,India,2015,771760452298,09:53:02
8,9DDF7DDF8,Cole Garcia PhD,06-10-1975,3306016884,ColeGarciaPhD@hotmail.com,30361534926357,04/24,08/731- Issac Chowk,234568,Dhule,Rajasthan,India,2010,892137658217,13:15:11
9,9ABE4ABE3,Edward Stevens,20-10-1998,8757738930,EdwardStevens@yahoo.com,3550824926947111,02/31,H.No. 320- Amble Road,584574,Bathinda,West Bengal,India,2012,275868809185,22:12:45
10,3CAE9CAE3,Dawn Wright,17-09-1989,8967699300,DawnWright@hotmail.com,4894517446660221,05/26,50/076 Korpal Street,530493,Saharanpur,Uttar Pradesh,India,2016,109767017204,20:00:16
11,8BFB8BFB6,Maria Wilson,02-03-1977,8536710979,MariaWilson@gmail.com,349426418306756,07/25,H.No. 10 Kibe Nagar,879676,Indore,Mizoram,India,2021,731886841261,15:04:23
12,1DFE8DFE4,Alexander Brown,01-10-1976,6207660754,AlexanderBrown@yahoo.com,341505520351921,11/25,104- Sant Path,994857,Mahbubnagar,Haryana,India,2012,871754203556,09:46:48
